osm_id,ZT13,,,,,,,,,,,,,,,,
385754231,14,385754231,428978766#2,,,,,,,,,,,,,,
456316924,14,456316924,,,,,,,,,,,,,,,
456316925,14,456316925,,,,,,,,,,,,,,,
456318007,15,-456316924,,,,,,,,,,,,,,,
456318008,15,-456316923,,,,,,,,,,,,,,,
456321034,15,-456316925,,,,,,,,,,,,,,,
455083985,17,-479572754#1,-479572754#0,,,,,,,,,,,,,,
455083986,17,-479572754#0,,,,,,,,,,,,,,,
300627772,19,300627772#1,,,,,,,,,,,,,,,
479572754,19,479572754#0,479572754#1,,,,,,,,,,,,,,
456316923,20,456316923,,,,,,,,,,,,,,,
132093451,22,132093451,,,,,,,,,,,,,,,
329384202,22,329384202,,,,,,,,,,,,,,,
165325231,23,-300627772#1,,,,,,,,,,,,,,,
165325606,23,165325606#1,,,,,,,,,,,,,,,
329384215,23,329384215,,,,,,,,,,,,,,,
176180511,32,274693149,,,,,,,,,,,,,,,
330718542,32,330718542,,,,,,,,,,,,,,,
458264621,32,164974773#0,,,,,,,,,,,,,,,
164974773,33,164974773#0,,,,,,,,,,,,,,,
274693149,36,274693149,,,,,,,,,,,,,,,
274693150,39,274693150#0,274693150#1,274693150#2,,,,,,,,,,,,,
332695584,39,332695584#0,332695584#1,332695584#2,332695584#3,332695584#4,,,,,,,,,,,
24221231,19,24221231#1,,,,,,,,,,,,,,,
456315709,19,466675150,,,,,,,,,,,,,,,
361607072,20,361607072,-361607072,,,,,,,,,,,,,,
456315708,20,361607072,-361607072,,,,,,,,,,,,,,
455083987,24,-24221231#1,,,,,,,,,,,,,,,
466675150,24,-466675150,,,,,,,,,,,,,,,
45560662,40,45560662,,,,,,,,,,,,,,,
21258129,20,21258129,,,,,,,,,,,,,,,
19898458,18,19898458,,,,,,,,,,,,,,,
19891899,23,19891899,,,,,,,,,,,,,,,
24221232,23,108603837,-108603837,,,,,,,,,,,,,,
108599846,23,108603837,-108603837,,,,,,,,,,,,,,
108603837,23,108603837,-108603837,,,,,,,,,,,,,,
41551739,47,41551739,,,,,,,,,,,,,,,
19937691,48,19937691,-19937691,,,,,,,,,,,,,,
181866865,48,181866866,-181866866,,,,,,,,,,,,,,
181866866,48,181866866,-181866866,,,,,,,,,,,,,,
329796315,48,181866866,-181866866,,,,,,,,,,,,,,
458446466,48,458446466#0,458446466#1,-458446466#0,-458446466#1,,,,,,,,,,,,
218948502,51,218948502,-218948502,,,,,,,,,,,,,,
458450992,51,458450992,-458450992,,,,,,,,,,,,,,
165325223,28,165325223#0,165325223#1,,,,,,,,,,,,,,
165264484,3,165264484,,,,,,,,,,,,,,,
25367003,5,25367003,,,,,,,,,,,,,,,
19891896,27,19891896#0,19891896#1,19891896#2,19891896#3,,,,,,,,,,,,
13501273,30,13501273,,,,,,,,,,,,,,,
36519031,34,36519031,,,,,,,,,,,,,,,
165265055,3,165265055#0,165265055#1,165265055#2,165265055#3,,,,,,,,,,,,
20112623,2,20112623#0,20112623#1,-20112623#0,-20112623#1,,,,,,,,,,,,
464709529,2,464709529,-464709529,,,,,,,,,,,,,,
